	User_GO:IDS	User_Go_Defs	Slim_GO:IDS	Slim_Go_Defs
57	GO:0001955	blood vessel maturation	GO:0006281	DNA repair
58	GO:0001955	blood vessel maturation	GO:0006725	cellular aromatic compound metabolic process
59	GO:0001955	blood vessel maturation	GO:0016043	cellular component organization
60	GO:0001955	blood vessel maturation	GO:0048523	negative regulation of cellular process
61	GO:0001955	blood vessel maturation	GO:0050794	regulation of cellular process
62	GO:0001955	blood vessel maturation	GO:0098772	molecular function regulator activity
63	GO:0002250	adaptive immune response	GO:0006955	immune response
64	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	GO:0098772	molecular function regulator activity
65	GO:0003333	amino acid transmembrane transport	GO:0006865	amino acid transport
66	GO:0003333	amino acid transmembrane transport	GO:0016491	oxidoreductase activity
67	GO:0003678	DNA helicase activity	GO:0004386	helicase activity
68	GO:0003678	DNA helicase activity	GO:0007165	signal transduction
69	GO:0003678	DNA helicase activity	GO:0009059	macromolecule biosynthetic process
70	GO:0003678	DNA helicase activity	GO:0022857	transmembrane transporter activity
71	GO:0003678	DNA helicase activity	GO:0044237	cellular metabolic process
72	GO:0003678	DNA helicase activity	GO:0046483	heterocycle metabolic process
73	GO:0003678	DNA helicase activity	GO:0140657	ATP-dependent activity
74	GO:0003684	damaged DNA binding	GO:0003677	DNA binding
75	GO:0003684	damaged DNA binding	GO:0019222	regulation of metabolic process
76	GO:0003684	damaged DNA binding	GO:0031323	regulation of cellular metabolic process
77	GO:0003684	damaged DNA binding	GO:0042221	response to chemical
78	GO:0003684	damaged DNA binding	GO:0044237	cellular metabolic process
79	GO:0003684	damaged DNA binding	GO:0048518	positive regulation of biological process
80	GO:0003684	damaged DNA binding	GO:1902494	catalytic complex
81	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	GO:0016853	isomerase activity
82	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	GO:0019899	enzyme binding
83	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	GO:0140096	catalytic activity, acting on a protein
84	GO:0003777	microtubule motor activity	GO:0003774	cytoskeletal motor activity
85	GO:0003777	microtubule motor activity	GO:0140657	ATP-dependent activity
86	GO:0003779	actin binding	GO:0005488	binding
87	GO:0003779	actin binding	GO:0008092	cytoskeletal protein binding
88	GO:0003779	actin binding	GO:0019222	regulation of metabolic process
89	GO:0003779	actin binding	GO:0031323	regulation of cellular metabolic process
90	GO:0003779	actin binding	GO:0042440	pigment metabolic process
91	GO:0003779	actin binding	GO:0044237	cellular metabolic process
92	GO:0003779	actin binding	GO:0046483	heterocycle metabolic process
93	GO:0003899	"[""DNA-directed 5'-3' RNA polymerase activity""]"	GO:0140098	catalytic activity, acting on RNA
94	GO:0003953	NAD+ nucleosidase activity	GO:0032991	protein-containing complex
95	GO:0003987	acetate-CoA ligase activity	GO:0006629	lipid metabolic process
96	GO:0003987	acetate-CoA ligase activity	GO:0006725	cellular aromatic compound metabolic process
97	GO:0003987	acetate-CoA ligase activity	GO:0006793	phosphorus metabolic process
98	GO:0003987	acetate-CoA ligase activity	GO:0006807	nitrogen compound metabolic process
99	GO:0003987	acetate-CoA ligase activity	GO:0009058	biosynthetic process
100	GO:0003987	acetate-CoA ligase activity	GO:0009117	nucleotide metabolic process
101	GO:0003987	acetate-CoA ligase activity	GO:0016874	ligase activity
102	GO:0003987	acetate-CoA ligase activity	GO:0034641	cellular nitrogen compound metabolic process
103	GO:0003987	acetate-CoA ligase activity	GO:0046483	heterocycle metabolic process
104	GO:0003987	acetate-CoA ligase activity	GO:0048518	positive regulation of biological process
105	GO:0003987	acetate-CoA ligase activity	GO:0048523	negative regulation of cellular process
106	GO:0003987	acetate-CoA ligase activity	GO:0048583	regulation of response to stimulus
107	GO:0003987	acetate-CoA ligase activity	GO:0050789	regulation of biological process
108	GO:0003987	acetate-CoA ligase activity	GO:0050794	regulation of cellular process
109	GO:0003987	acetate-CoA ligase activity	GO:0051726	regulation of cell cycle
110	GO:0003987	acetate-CoA ligase activity	GO:0055086	nucleobase-containing small molecule metabolic process
111	GO:0003987	acetate-CoA ligase activity	GO:1901135	carbohydrate derivative metabolic process
112	GO:0003994	aconitate hydratase activity	GO:0008152	metabolic process
113	GO:0003994	aconitate hydratase activity	GO:0048878	chemical homeostasis
114	GO:0004046	aminoacylase activity	GO:0032991	protein-containing complex
115	GO:0004081	"[""bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity""]"	GO:0004518	nuclease activity
116	GO:0004081	"[""bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity""]"	GO:0033043	regulation of organelle organization
117	GO:0004081	"[""bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity""]"	GO:0050794	regulation of cellular process
118	GO:0004081	"[""bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity""]"	GO:1902494	catalytic complex
119	GO:0004105	choline-phosphate cytidylyltransferase activity	GO:0009058	biosynthetic process
120	GO:0004105	choline-phosphate cytidylyltransferase activity	GO:0030030	cell projection organization
121	GO:0004114	"[""3',5'-cyclic-nucleotide phosphodiesterase activity""]"	GO:0022618	protein-RNA complex assembly
122	GO:0004143	ATP-dependent diacylglycerol kinase activity	GO:0016301	kinase activity
123	GO:0004143	ATP-dependent diacylglycerol kinase activity	GO:0016773	phosphotransferase activity, alcohol group as acceptor
124	GO:0004222	metalloendopeptidase activity	GO:0007186	G protein-coupled receptor signaling pathway
125	GO:0004222	metalloendopeptidase activity	GO:0008233	peptidase activity
126	GO:0004222	metalloendopeptidase activity	GO:0048511	rhythmic process
127	GO:0004306	ethanolamine-phosphate cytidylyltransferase activity	GO:0000226	microtubule cytoskeleton organization
128	GO:0004306	ethanolamine-phosphate cytidylyltransferase activity	GO:0016779	nucleotidyltransferase activity
129	GO:0004306	ethanolamine-phosphate cytidylyltransferase activity	GO:0019725	cellular homeostasis
130	GO:0004306	ethanolamine-phosphate cytidylyltransferase activity	GO:0048583	regulation of response to stimulus
131	GO:0004306	ethanolamine-phosphate cytidylyltransferase activity	GO:0050794	regulation of cellular process
132	GO:0004329	formate-tetrahydrofolate ligase activity	GO:0016874	ligase activity
133	GO:0004329	formate-tetrahydrofolate ligase activity	GO:0140096	catalytic activity, acting on a protein
134	GO:0004336	galactosylceramidase activity	GO:0008081	phosphoric diester hydrolase activity
135	GO:0004364	glutathione transferase activity	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
136	GO:0004383	guanylate cyclase activity	GO:0006869	lipid transport
137	GO:0004383	guanylate cyclase activity	GO:0009058	biosynthetic process
138	GO:0004383	guanylate cyclase activity	GO:0009975	cyclase activity
139	GO:0004383	guanylate cyclase activity	GO:1902494	catalytic complex
140	GO:0004396	hexokinase activity	GO:0006066	alcohol metabolic process
141	GO:0004396	hexokinase activity	GO:0009058	biosynthetic process
142	GO:0004396	hexokinase activity	GO:0016773	phosphotransferase activity, alcohol group as acceptor
143	GO:0004396	hexokinase activity	GO:0033043	regulation of organelle organization
144	GO:0004396	hexokinase activity	GO:0050794	regulation of cellular process
145	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0006082	organic acid metabolic process
146	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0006629	lipid metabolic process
147	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0006810	transport
148	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0009058	biosynthetic process
149	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0015849	organic acid transport
150	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0016491	oxidoreductase activity
151	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0019222	regulation of metabolic process
152	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0044283	small molecule biosynthetic process
153	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0051213	dioxygenase activity
154	GO:0004411	homogentisate 1,2-dioxygenase activity	GO:0098772	molecular function regulator activity
155	GO:0004422	hypoxanthine phosphoribosyltransferase activity	GO:0006793	phosphorus metabolic process
156	GO:0004467	long-chain fatty acid-CoA ligase activity	GO:0016874	ligase activity
157	GO:0004467	long-chain fatty acid-CoA ligase activity	GO:0140097	catalytic activity, acting on DNA
158	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity	GO:0016043	cellular component organization
159	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity	GO:0033043	regulation of organelle organization
160	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity	GO:0048523	negative regulation of cellular process
161	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity	GO:0050794	regulation of cellular process
162	GO:0004486	methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity	GO:0015318	inorganic molecular entity transmembrane transporter activity
163	GO:0004486	methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity	GO:0140096	catalytic activity, acting on a protein
164	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0022857	transmembrane transporter activity
165	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0033043	regulation of organelle organization
166	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0048523	negative regulation of cellular process
167	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0050794	regulation of cellular process
168	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0051726	regulation of cell cycle
169	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0055085	transmembrane transport
170	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0065008	regulation of biological quality
171	GO:0004517	nitric-oxide synthase activity	GO:0004497	monooxygenase activity
172	GO:0004517	nitric-oxide synthase activity	GO:0051641	cellular localization
173	GO:0004550	nucleoside diphosphate kinase activity	GO:0016772	transferase activity, transferring phosphorus-containing groups
174	GO:0004550	nucleoside diphosphate kinase activity	GO:0019222	regulation of metabolic process
175	GO:0004550	nucleoside diphosphate kinase activity	GO:0031323	regulation of cellular metabolic process
176	GO:0004550	nucleoside diphosphate kinase activity	GO:0038023	signaling receptor activity
177	GO:0004550	nucleoside diphosphate kinase activity	GO:0048519	negative regulation of biological process
178	GO:0004550	nucleoside diphosphate kinase activity	GO:0140096	catalytic activity, acting on a protein
179	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0016798	hydrolase activity, acting on glycosyl bonds
180	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0002376	immune system process
181	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0006082	organic acid metabolic process
182	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0006807	nitrogen compound metabolic process
183	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0009056	catabolic process
184	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0048523	negative regulation of cellular process
185	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0050794	regulation of cellular process
186	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0055086	nucleobase-containing small molecule metabolic process
187	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0140096	catalytic activity, acting on a protein
188	GO:0004674	protein serine/threonine kinase activity	GO:0004672	protein kinase activity
189	GO:0004674	protein serine/threonine kinase activity	GO:0006396	RNA processing
190	GO:0004674	protein serine/threonine kinase activity	GO:0043412	macromolecule modification
191	GO:0004691	cAMP-dependent protein kinase activity	GO:0006396	RNA processing
192	GO:0004691	cAMP-dependent protein kinase activity	GO:0006520	amino acid metabolic process
193	GO:0004691	cAMP-dependent protein kinase activity	GO:0008152	metabolic process
194	GO:0004691	cAMP-dependent protein kinase activity	GO:0009056	catabolic process
195	GO:0004691	cAMP-dependent protein kinase activity	GO:0140657	ATP-dependent activity
196	GO:0004707	MAP kinase activity	GO:0004672	protein kinase activity
197	GO:0004707	MAP kinase activity	GO:0016829	lyase activity
198	GO:0004713	protein tyrosine kinase activity	GO:0004672	protein kinase activity
199	GO:0004713	protein tyrosine kinase activity	GO:0016779	nucleotidyltransferase activity
200	GO:0004713	protein tyrosine kinase activity	GO:0019222	regulation of metabolic process
201	GO:0004713	protein tyrosine kinase activity	GO:0043233	organelle lumen
202	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0004672	protein kinase activity
203	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0006082	organic acid metabolic process
204	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0006725	cellular aromatic compound metabolic process
205	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0006793	phosphorus metabolic process
206	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0006807	nitrogen compound metabolic process
207	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0009056	catabolic process
208	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0009058	biosynthetic process
209	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0044237	cellular metabolic process
210	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0044281	small molecule metabolic process
211	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0046483	heterocycle metabolic process
212	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0048584	positive regulation of response to stimulus
213	GO:0004714	transmembrane receptor protein tyrosine kinase activity	GO:0110165	cellular anatomical entity
214	GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	GO:0008168	methyltransferase activity
215	GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	GO:0016020	membrane
216	GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	GO:0022414	reproductive process
217	GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	GO:0065008	regulation of biological quality
218	GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	GO:0098796	membrane protein complex
219	GO:0004721	phosphoprotein phosphatase activity	GO:0016791	phosphatase activity
220	GO:0004721	phosphoprotein phosphatase activity	GO:0032991	protein-containing complex
221	GO:0004722	protein serine/threonine phosphatase activity	GO:0006793	phosphorus metabolic process
222	GO:0004722	protein serine/threonine phosphatase activity	GO:0022857	transmembrane transporter activity
223	GO:0004722	protein serine/threonine phosphatase activity	GO:0033043	regulation of organelle organization
224	GO:0004722	protein serine/threonine phosphatase activity	GO:0048523	negative regulation of cellular process
225	GO:0004722	protein serine/threonine phosphatase activity	GO:0050794	regulation of cellular process
226	GO:0004722	protein serine/threonine phosphatase activity	GO:0051726	regulation of cell cycle
227	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	GO:0006139	nucleobase-containing compound metabolic process
228	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	GO:0008168	methyltransferase activity
229	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	GO:0009058	biosynthetic process
230	GO:0004757	sepiapterin reductase activity	GO:0044255	cellular lipid metabolic process
231	GO:0004809	tRNA (guanine-N2-)-methyltransferase activity	GO:0008168	methyltransferase activity
232	GO:0004842	ubiquitin-protein transferase activity	GO:0019787	ubiquitin-like protein transferase activity
233	GO:0004842	ubiquitin-protein transferase activity	GO:0033043	regulation of organelle organization
234	GO:0004843	cysteine-type deubiquitinase activity	GO:0008233	peptidase activity
235	GO:0004843	cysteine-type deubiquitinase activity	GO:0009058	biosynthetic process
236	GO:0004843	cysteine-type deubiquitinase activity	GO:0016020	membrane
237	GO:0004843	cysteine-type deubiquitinase activity	GO:0043167	ion binding
238	GO:0004857	enzyme inhibitor activity	GO:0006793	phosphorus metabolic process
239	GO:0004857	enzyme inhibitor activity	GO:0019222	regulation of metabolic process
240	GO:0004857	enzyme inhibitor activity	GO:0030234	enzyme regulator activity
241	GO:0004857	enzyme inhibitor activity	GO:1903047	mitotic cell cycle process
242	GO:0004867	serine-type endopeptidase inhibitor activity	GO:0022857	transmembrane transporter activity
243	GO:0004867	serine-type endopeptidase inhibitor activity	GO:0030234	enzyme regulator activity
244	GO:0004888	transmembrane signaling receptor activity	GO:0022857	transmembrane transporter activity
245	GO:0004888	transmembrane signaling receptor activity	GO:0033043	regulation of organelle organization
246	GO:0004888	transmembrane signaling receptor activity	GO:0038023	signaling receptor activity
247	GO:0004888	transmembrane signaling receptor activity	GO:0048523	negative regulation of cellular process
248	GO:0004888	transmembrane signaling receptor activity	GO:0050794	regulation of cellular process
249	GO:0004890	GABA-A receptor activity	GO:0006793	phosphorus metabolic process
250	GO:0004890	GABA-A receptor activity	GO:0009058	biosynthetic process
251	GO:0004890	GABA-A receptor activity	GO:0044255	cellular lipid metabolic process
252	GO:0004890	GABA-A receptor activity	GO:0048519	negative regulation of biological process
253	GO:0004890	GABA-A receptor activity	GO:0050794	regulation of cellular process
254	GO:0004890	GABA-A receptor activity	GO:0065008	regulation of biological quality
255	GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	GO:0006082	organic acid metabolic process
256	GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	GO:0019222	regulation of metabolic process
257	GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	GO:0031323	regulation of cellular metabolic process
258	GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	GO:0031324	negative regulation of cellular metabolic process
259	GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	GO:0048519	negative regulation of biological process
260	GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	GO:0050789	regulation of biological process
261	GO:0005096	GTPase activator activity	GO:0005488	binding
262	GO:0005096	GTPase activator activity	GO:0030234	enzyme regulator activity
263	GO:0005096	GTPase activator activity	GO:0033043	regulation of organelle organization
264	GO:0005096	GTPase activator activity	GO:0033218	amide binding
265	GO:0005096	GTPase activator activity	GO:0048523	negative regulation of cellular process
266	GO:0005096	GTPase activator activity	GO:0050794	regulation of cellular process
267	GO:0005096	GTPase activator activity	GO:0098772	molecular function regulator activity
268	GO:0005216	monoatomic ion channel activity	GO:0022857	transmembrane transporter activity
269	GO:0005219	ryanodine-sensitive calcium-release channel activity	GO:0022857	transmembrane transporter activity
270	GO:0005219	ryanodine-sensitive calcium-release channel activity	GO:0050789	regulation of biological process
271	GO:0005219	ryanodine-sensitive calcium-release channel activity	GO:0055085	transmembrane transport
272	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	GO:0008152	metabolic process
273	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	GO:0016020	membrane
274	GO:0005244	voltage-gated monoatomic ion channel activity	GO:0003677	DNA binding
275	GO:0005244	voltage-gated monoatomic ion channel activity	GO:0097367	carbohydrate derivative binding
276	GO:0005248	voltage-gated sodium channel activity	GO:0004518	nuclease activity
277	GO:0005248	voltage-gated sodium channel activity	GO:0005975	carbohydrate metabolic process
278	GO:0005249	voltage-gated potassium channel activity	GO:0006725	cellular aromatic compound metabolic process
279	GO:0005249	voltage-gated potassium channel activity	GO:0006790	sulfur compound metabolic process
280	GO:0005249	voltage-gated potassium channel activity	GO:0006793	phosphorus metabolic process
281	GO:0005249	voltage-gated potassium channel activity	GO:0006807	nitrogen compound metabolic process
282	GO:0005249	voltage-gated potassium channel activity	GO:0009058	biosynthetic process
283	GO:0005249	voltage-gated potassium channel activity	GO:0022857	transmembrane transporter activity
284	GO:0005249	voltage-gated potassium channel activity	GO:0034641	cellular nitrogen compound metabolic process
285	GO:0005249	voltage-gated potassium channel activity	GO:0043233	organelle lumen
286	GO:0005249	voltage-gated potassium channel activity	GO:0043603	amide metabolic process
287	GO:0005249	voltage-gated potassium channel activity	GO:0046483	heterocycle metabolic process
288	GO:0005249	voltage-gated potassium channel activity	GO:1901135	carbohydrate derivative metabolic process
289	GO:0005254	chloride channel activity	GO:0006725	cellular aromatic compound metabolic process
290	GO:0005254	chloride channel activity	GO:0006790	sulfur compound metabolic process
291	GO:0005254	chloride channel activity	GO:0006793	phosphorus metabolic process
292	GO:0005254	chloride channel activity	GO:0006807	nitrogen compound metabolic process
293	GO:0005254	chloride channel activity	GO:0009058	biosynthetic process
294	GO:0005254	chloride channel activity	GO:0009117	nucleotide metabolic process
295	GO:0005254	chloride channel activity	GO:0022857	transmembrane transporter activity
296	GO:0005254	chloride channel activity	GO:0034641	cellular nitrogen compound metabolic process
297	GO:0005254	chloride channel activity	GO:0043233	organelle lumen
298	GO:0005254	chloride channel activity	GO:0043603	amide metabolic process
299	GO:0005254	chloride channel activity	GO:0046483	heterocycle metabolic process
300	GO:0005254	chloride channel activity	GO:0055086	nucleobase-containing small molecule metabolic process
301	GO:0005254	chloride channel activity	GO:1901135	carbohydrate derivative metabolic process
302	GO:0005261	monoatomic cation channel activity	GO:0006139	nucleobase-containing compound metabolic process
303	GO:0005261	monoatomic cation channel activity	GO:0009058	biosynthetic process
304	GO:0005261	monoatomic cation channel activity	GO:0009117	nucleotide metabolic process
305	GO:0005261	monoatomic cation channel activity	GO:0034641	cellular nitrogen compound metabolic process
306	GO:0005261	monoatomic cation channel activity	GO:0055086	nucleobase-containing small molecule metabolic process
307	GO:0005261	monoatomic cation channel activity	GO:1901135	carbohydrate derivative metabolic process
308	GO:0005262	calcium channel activity	GO:0006810	transport
309	GO:0005262	calcium channel activity	GO:0022857	transmembrane transporter activity
310	GO:0005262	calcium channel activity	GO:0050794	regulation of cellular process
311	GO:0005262	calcium channel activity	GO:0055085	transmembrane transport
312	GO:0005267	potassium channel activity	GO:0000149	SNARE binding
313	GO:0005267	potassium channel activity	GO:0006066	alcohol metabolic process
314	GO:0005267	potassium channel activity	GO:0008168	methyltransferase activity
315	GO:0005267	potassium channel activity	GO:0009058	biosynthetic process
316	GO:0005267	potassium channel activity	GO:0009117	nucleotide metabolic process
317	GO:0005267	potassium channel activity	GO:0015318	inorganic molecular entity transmembrane transporter activity
318	GO:0005267	potassium channel activity	GO:0022857	transmembrane transporter activity
319	GO:0005267	potassium channel activity	GO:0032787	monocarboxylic acid metabolic process
320	GO:0005267	potassium channel activity	GO:0034641	cellular nitrogen compound metabolic process
321	GO:0005272	sodium channel activity	GO:0006139	nucleobase-containing compound metabolic process
322	GO:0005272	sodium channel activity	GO:0006725	cellular aromatic compound metabolic process
323	GO:0005272	sodium channel activity	GO:0006793	phosphorus metabolic process
324	GO:0005272	sodium channel activity	GO:0006807	nitrogen compound metabolic process
325	GO:0005272	sodium channel activity	GO:0009058	biosynthetic process
326	GO:0005272	sodium channel activity	GO:0009117	nucleotide metabolic process
327	GO:0005272	sodium channel activity	GO:0022857	transmembrane transporter activity
328	GO:0005272	sodium channel activity	GO:0034641	cellular nitrogen compound metabolic process
329	GO:0005272	sodium channel activity	GO:0046483	heterocycle metabolic process
330	GO:0005272	sodium channel activity	GO:0055086	nucleobase-containing small molecule metabolic process
331	GO:0005272	sodium channel activity	GO:0140657	ATP-dependent activity
332	GO:0005272	sodium channel activity	GO:1901135	carbohydrate derivative metabolic process
333	GO:0005388	P-type calcium transporter activity	GO:0016787	hydrolase activity
334	GO:0005388	P-type calcium transporter activity	GO:0022857	transmembrane transporter activity
